Method,Al,Ba,Ca,Ce,Distance,Fe,K,La,Li,Mg,Mn,Na,Rb,Si,Sr,Ti,Xan,Y,Si_sd,Li_sd,Mg_sd,K_sd,Ti_sd,Ca_sd,Sr_sd,Rb_sd,Y_sd,Ba_sd,La_sd,Ce_sd,Xan_sd,Fe_sd,Al_sd,Mn_sd,Na_sd,Profile
EPMA,180712.011392681,,130240.242486278,,204.9688706456,3001.9513003101,-73.8831521508,,,874.5313391247,-395.7477719792,6730.1257333153,,210743.501388882,,25.7717446016,0.9173614312,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,181460.364848245,,132951.064564334,,209.9327902457,3388.2718068493,57.2801966113,,,888.439832615,889.8516438437,7161.1445881495,,210896.352607919,,65.9277187482,0.9141622663,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,181516.994140851,,130204.507947943,,214.9230738464,3057.1399441014,78.8640388127,,,861.0715067147,92.9348975294,6960.1013701459,,213395.727128385,,87.5040630658,0.9147568405,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,181665.712189658,,132321.42199888,,219.9133574472,2967.7498872564,28.2250244172,,,894.2724266594,473.1935199204,7682.66998393,,211882.172855471,,74.9178622139,0.9080876027,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,181194.683494148,,131374.456733015,,224.8772770472,2893.9059272539,5.8110344388,,,918.5001249974,-298.1661295734,7017.9662078001,,211405.856671377,,106.6830357925,0.9148087523,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,180474.380062024,,130721.229372261,,229.9640227622,2809.9570043038,87.1655165824,,,910.4242255514,-326.0465988322,6861.4344033766,,211741.007509449,,82.1099769864,0.9161682809,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,181563.038518951,,131224.371672011,,234.9279423623,3164.4080123155,236.5921164381,,,906.8349369087,-90.6115250911,7194.5281483346,,210790.712315863,,92.2988062475,0.9127612678,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,181329.111908372,,130687.638906226,,239.918225963,2987.9598131518,75.5434477048,,,942.279162255,349.2803232146,6948.9735167509,,211740.072639608,,107.2823786903,0.9151695028,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,180063.685379197,,130313.855635247,,244.8821455631,3022.9385310477,149.4265998556,,,922.5380747204,-411.2369215675,8010.5707306369,,212628.198988754,,76.715890907,0.9032109178,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,180860.200195763,,129995.103553303,,249.968891278,3294.2179209514,-168.5199987261,,,973.236776798,374.8374200351,7962.3500325918,,211963.039096736,,88.7027488612,0.9035241999,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,5.5992981428,95322.6171811656,0.1687034376,253.4907658895,,95.2191181397,0.0693443578,0.3850164342,1026.7104912456,,,,213208.025399784,128.3388114057,76.7962887605,0.9042730796,0.0596154479,944.3448856434,0.0585767337,5.0233661161,3.4372844803,6.3319034474,932.3584613791,4.0095328206,,0.0471301498,1.4176653991,0.0531833756,0.0823215509,,,,,,SKU_1_C3_P3
EPMA,180054.158956142,,131439.493592784,,254.9328108781,3223.4831803175,37.3566499639,,,975.4800821997,-331.4678011881,7953.4477498758,,213717.78978868,,136.0508377804,0.9045797113,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,178780.264495362,,127527.276335921,,259.9230944788,3022.9385310477,92.9765510213,,,1015.8595794297,-55.7609385176,9089.230653062,,213693.483172809,,138.4482093712,0.8894836942,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,178688.704984886,,128993.107098403,,264.8870140789,3287.2221773722,208.3670920209,,,993.426525413,-154.8914958823,8423.0431631461,,213935.614461681,,33.5632022718,0.8978009389,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,181979.554904757,,128919.493949434,,269.8772976797,3373.5030148488,143.6155654168,,,993.426525413,-133.2066864588,7659.6724202469,,213719.192093442,,35.9605738627,0.9061457407,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,180798.278445903,,126932.653618035,,274.9376793939,3187.7271575794,87.9956643594,,,984.004642726,-149.4702935264,7179.6910104746,,214339.478233083,,104.8850070994,0.9102456821,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
